state_abbr,state,county,fips,population,obesity,diabetes,inactivity
OR,Oregon,Gilliam,41021,"2,026",35.4,14.8,25.5
ID,Idaho,Elmore,16039,"29,724",34.2,10.4,24.4
WY,Wyoming,Carbon,56007,"14,334",38.6,12.9,30.5
ND,North Dakota,Renville,38075,"2,279",39.0,11.1,24.4
SC,South Carolina,Calhoun,45017,"14,186",40.7,17.3,29.1
NE,Nebraska,Keya Paha,31103,805,36.6,14.2,30.1
CT,Connecticut,Northeastern Connecticut,09150,"96,692",33.3,10.3,26.3
WI,Wisconsin,Bayfield,55007,"16,769",39.1,13.9,27.3
VA,Virginia,Prince Edward,51147,"22,049",37.2,13.5,27.7
MI,Michigan,Kalamazoo,26077,"262,215",37.4,9.7,22.8
MN,Minnesota,Otter Tail,27111,"60,626",34.3,12.1,25.9
WI,Wisconsin,Kenosha,55059,"167,488",40.1,11.4,27.3
MI,Michigan,Van Buren,26159,"75,798",39.4,13.5,28.0
IL,Illinois,Coles,17029,"46,060",37.7,11.4,24.2
