state_abbr,state,county,fips,population,obesity,diabetes,inactivity
NM,New Mexico,Chaves,35005,"63,561",39.8,14.3,31.0
TX,Texas,Val Verde,48465,"47,720",37.8,15.6,36.4
AL,Alabama,Clay,01027,"14,111",42.5,16.5,32.7
NC,North Carolina,McDowell,37111,"44,893",35.2,13.0,26.3
AR,Arkansas,Crittenden,05035,"47,139",46.7,16.5,38.7
NC,North Carolina,Warren,37185,"18,836",43.9,20.0,33.8
NY,New York,Jefferson,36045,"114,787",37.8,10.0,25.4
VT,Vermont,Grand Isle,50013,"7,467",30.7,9.7,18.7
NY,New York,St. Lawrence,36089,"106,940",41.8,11.9,28.0
WI,Wisconsin,Waukesha,55133,"412,591",33.4,10.5,21.0
ID,Idaho,Clark,16033,801,36.0,13.8,30.3
MS,Mississippi,Humphreys,28053,"7,216",52.4,24.7,47.9
VA,Virginia,Hanover,51085,"114,148",32.9,11.6,21.4
TX,Texas,Wichita,48485,"130,180",35.3,12.1,27.0
OH,Ohio,Brown,39015,"43,777",41.6,14.5,34.1
TN,Tennessee,Loudon,47105,"60,591",36.4,15.1,27.1
MO,Missouri,St. Louis,29510,"281,754",37.0,13.3,27.0
TX,Texas,Nacogdoches,48347,"65,375",33.2,13.2,29.8
FL,Florida,Gulf,12045,"15,693",35.3,14.1,27.4
MI,Michigan,Cass,26027,"51,642",36.2,13.1,26.8
NE,Nebraska,Madison,31119,"35,627",40.0,11.8,27.7
WI,Wisconsin,Dunn,55033,"45,794",38.8,9.9,26.6
NE,Nebraska,Nuckolls,31129,"4,095",41.8,12.7,27.8
WI,Wisconsin,Trempealeau,55121,"30,899",41.3,12.3,29.0
NC,North Carolina,Transylvania,37175,"33,549",33.7,12.9,22.3
AL,Alabama,Limestone,01083,"114,654",39.6,12.5,25.4
IN,Indiana,Union,18161,"6,973",37.6,13.0,24.2
WI,Wisconsin,Jackson,55053,"20,855",40.4,13.4,31.4
WV,West Virginia,Greenbrier,54025,"32,149",40.4,17.3,35.0
OK,Oklahoma,Caddo,40015,"26,214",40.2,14.9,37.4
FL,Florida,Palm Beach,12099,"1,533,801",26.6,13.7,25.6
WI,Wisconsin,Manitowoc,55071,"81,331",39.1,12.2,30.3
GA,Georgia,Polk,13233,"44,223",40.4,14.1,31.4
IL,Illinois,Cass,17017,"12,596",40.6,13.4,27.8
NV,Nevada,Mineral,32021,"4,528",38.2,17.6,34.4
MN,Minnesota,Traverse,27155,"3,136",38.7,13.2,28.0
MT,Montana,McCone,30055,"1,676",32.4,11.1,22.6
SD,South Dakota,Brule,46015,"5,311",38.2,13.2,26.2
MO,Missouri,Harrison,29081,"8,220",39.3,14.7,34.8
AR,Arkansas,Faulkner,05045,"129,951",39.8,10.8,26.6
MN,Minnesota,Crow Wing,27035,"68,304",37.5,11.8,24.6
TX,Texas,Hockley,48219,"21,460",36.1,14.1,32.0
TX,Texas,Tom Green,48451,"119,057",36.8,12.9,29.0
TX,Texas,Ward,48475,"10,966",37.6,14.4,33.9
MS,Mississippi,Jefferson,28063,"6,941",51.5,23.6,45.0
AK,Alaska,Copper River,02066,"2,674",33.6,11.4,23.2
NY,New York,Monroe,36055,"748,482",31.4,11.2,25.4
AR,Arkansas,Crawford,05033,"61,891",38.8,13.0,31.2
CA,California,Sutter,06101,"97,948",29.5,12.8,27.7
NC,North Carolina,Yancey,37199,"18,938",35.6,13.7,26.5
UT,Utah,Iron,49021,"64,211",35.3,9.4,18.3
MN,Minnesota,Becker,27005,"35,283",37.3,11.8,24.6
AZ,Arizona,Mohave,04015,"223,682",32.7,14.2,29.7
CA,California,Yuba,06115,"85,722",30.8,11.3,26.0
VA,Virginia,Falls Church,51610,"14,685",29.1,8.9,15.8
MD,Maryland,Charles,24017,"171,973",41.9,13.4,23.3
IA,Iowa,Adams,19003,"3,544",39.1,13.2,27.6
AL,Alabama,Barbour,01005,"24,585",46.8,19.6,36.2
OK,Oklahoma,Tillman,40141,"6,869",44.0,16.2,37.4
NM,New Mexico,McKinley,35031,"68,797",41.3,19.0,32.1
